"BIO_DETAIL_ID","STATE_NAME","RECFIN_YEAR","RECFIN_PORT_NAME","RECFIN_TRIP_TYPE_NAME","AGENCY_WATER_AREA_NAME","AGENCY_FISHED_AREA_NAME","RECFIN_MODE_NAME","FISHERY_MANAGEMENT_PLAN","STOCK_COMPLEX_NAME","SPECIES_GROUP_NAME","SPECIES_NAME","SCIENTIFIC_NAME","AGENCY_LENGTH","AGENCY_LENGTH_UNITS","IS_AGENCY_LENGTH_WITHIN_MAX","AGENCY_WEIGHT","AGENCY_WEIGHT_UNITS","RECFIN_LENGTH_MM","RECFIN_IMPUTED_LENGTH","RECFIN_LENGTH_TYPE","RECFIN_IMPUTED_WEIGHT_KG","RECFIN_SEX_CODE","RECFIN_SEX_NAME","IS_RETAINED","CAUGHT_BY_OBSERVED_ANGLER","SOURCE_CODE"
43634516352,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","GROUNDFISH","FLATFISH","FLATFISH","PETRALE SOLE","EOPSETTA JORDANI",535,"","T",2.6,"",535,"","",1.8861,"","","RETAINED","","BIO"
43634517245,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","FLATFISH","FLATFISH","PETRALE SOLE","EOPSETTA JORDANI",395,"","T",,"",395,"","",.7208,"","","RETAINED","","BIO"
43634517246,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","GROUNDFISH","FLATFISH","FLATFISH","PETRALE SOLE","EOPSETTA JORDANI",498,"","T",,"",498,"","",1.5027,"","","RETAINED","","BIO"
43634516442,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","GROUNDFISH","FLATFISH","FLATFISH","PETRALE SOLE","EOPSETTA JORDANI",426,"","T",.84,"",426,"","",.9159,"","","RETAINED","","BIO"
43634516522,"CALIFORNIA",2025,"BAY AREA (SONOMA, MARIN, SOLANO, NAPA, CONTRA COSTA, ALAMEDA, SANTA CLARA, SAN MATEO, SAN FRANCISCO COUNTIES)","BOTTOMFISH","OCEAN > 3 MILES","","PRIVATE/RENTAL BOATS","GROUNDFISH","FLATFISH","FLATFISH","PETRALE SOLE","EOPSETTA JORDANI",490,"","T",1.6,"",490,"","",1.4275,"","","RETAINED","","BIO"
43634516973,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","GROUNDFISH","FLATFISH","FLATFISH","PETRALE SOLE","EOPSETTA JORDANI",490,"","T",1.6,"",490,"","",1.4275,"","","RETAINED","","BIO"
43634517007,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","GROUNDFISH","FLATFISH","FLATFISH","PETRALE SOLE","EOPSETTA JORDANI",433,"","T",.98,"",433,"","",.9645,"","","RETAINED","","BIO"
43634517008,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","GROUNDFISH","FLATFISH","FLATFISH","PETRALE SOLE","EOPSETTA JORDANI",548,"","T",2.7,"",548,"","",2.0353,"","","RETAINED","","BIO"
43634517009,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","GROUNDFISH","FLATFISH","FLATFISH","PETRALE SOLE","EOPSETTA JORDANI",564,"","T",2.7,"",564,"","",2.2297,"","","RETAINED","","BIO"
43634517027,"CALIFORNIA",2025,"CENTRAL (SAN LUIS OBISPO, MONTEREY AND SANTA CRUZ COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","GROUNDFISH","FLATFISH","FLATFISH","PETRALE SOLE","EOPSETTA JORDANI",425,"","T",1.3,"",425,"","",.9091,"","","RETAINED","","BIO"
